,BAGIX,VAR,,JDMNX
11/28/2016,10.51667,0.029375,,96.237991
11/29/2016,10.536256,0.019586,,96.139793
11/30/2016,10.506879,-0.029377,,95.403275
12/1/2016,10.46771,-0.039169,,94.33287
12/2/2016,10.497087,0.029377,,94.519455
12/5/2016,10.506879,0.009792,,95.246147
12/6/2016,10.497087,-0.009792,,95.550583
12/7/2016,10.526464,0.029377,,96.660263
12/8/2016,10.506879,-0.019585,,97.121811
12/9/2016,10.46771,-0.039169,,97.102165
12/12/2016,10.46771,0,,96.787918
12/13/2016,10.477503,0.009793,,97.180733
12/14/2016,10.45792,-0.019583,,96.336189
12/15/2016,10.428543,-0.029377,,97.13163
12/16/2016,10.41875,-0.009793,,96.729004
12/19/2016,10.448128,0.029378,,96.919998
12/20/2016,10.438334,-0.009794,,97.300003
12/21/2016,10.45792,0.019586,,96.919998
12/22/2016,10.45792,0,,96.18
12/23/2016,10.45792,0,,96.480003
12/27/2016,10.449062,-0.008858,,96.639999
12/28/2016,10.478581,0.029519,,95.849998
12/29/2016,10.498259,0.019678,,95.830002
12/30/2016,10.527777,0.029518,,95.459999
1/3/2017,10.527777,0,,95.980003
1/4/2017,10.527777,0,,97.169998
1/5/2017,10.58681,0.059033,,96.879997
1/6/2017,10.557293,-0.029517,,97.220001
1/9/2017,10.576973,0.01968,,97.169998
1/10/2017,10.576973,0,,97.68
1/11/2017,10.58681,0.009837,,97.910004
1/12/2017,10.58681,0,,97.889999
1/13/2017,10.576973,-0.009837,,98.620003
1/17/2017,10.606488,0.029515,,98.190002
1/18/2017,10.576973,-0.029515,,98.529999
1/19/2017,10.537616,-0.039357,,98
1/20/2017,10.537616,0,,98.32
1/23/2017,10.576973,0.039357,,98.230003
1/24/2017,10.547455,-0.029518,,99.050003
1/25/2017,10.514934,-0.032521,,99.940002
1/26/2017,10.534643,0.019709,,99.269997
1/27/2017,10.544499,0.009856,,99.470001
1/30/2017,10.544499,0,,98.959999
1/31/2017,10.564208,0.019709,,99.139999
2/1/2017,10.554354,-0.009854,,99.160004
2/2/2017,10.554354,0,,99.300003
2/3/2017,10.544499,-0.009855,,99.620003
2/6/2017,10.593772,0.049273,,99.139999
2/7/2017,10.603627,0.009855,,99.139999
2/8/2017,10.623337,0.01971,,99.370003
2/9/2017,10.603627,-0.01971,,100.059998
2/10/2017,10.593772,-0.009855,,100.449997
2/13/2017,10.583917,-0.009855,,100.669998
2/14/2017,10.564208,-0.019709,,100.839996
2/15/2017,10.544499,-0.019709,,101.190002
2/16/2017,10.574062,0.029563,,101.25
2/17/2017,10.593772,0.01971,,101.580002
2/21/2017,10.593772,0,,102.309998
2/22/2017,10.593772,0,,102.029999
2/23/2017,10.613482,0.01971,,101.660004
2/24/2017,10.6529,0.039418,,102.019997
2/27/2017,10.636112,-0.016788,,102.379997
2/28/2017,10.636112,0,,101.339996
3/1/2017,10.586734,-0.049378,,102.629997
3/2/2017,10.566981,-0.019753,,101.889999
3/3/2017,10.576858,0.009877,,101.93
3/6/2017,10.576858,0,,101.389999
3/7/2017,10.566981,-0.009877,,101.040001
3/8/2017,10.537354,-0.029627,,101.050003
3/9/2017,10.507727,-0.029627,,101.150002
3/10/2017,10.517602,0.009875,,101.720001
3/13/2017,10.497851,-0.019751,,102.059998
3/14/2017,10.507727,0.009876,,101.690002
3/15/2017,10.557106,0.049379,,102.699997
3/16/2017,10.557106,0,,102.779999
3/17/2017,10.566981,0.009875,,103
3/20/2017,10.586734,0.019753,,102.699997
3/21/2017,10.606483,0.019749,,101.160004
3/22/2017,10.626235,0.019752,,101.449997
3/23/2017,10.616359,-0.009876,,101.43
3/24/2017,10.626235,0.009876,,101.459999
3/27/2017,10.647016,0.020781,,101.550003
3/28/2017,10.627225,-0.019791,,101.879997
3/29/2017,10.637119,0.009894,,102.010002
3/30/2017,10.627225,-0.009894,,102.309998
3/31/2017,10.637119,0.009894,,102.309998
4/3/2017,10.666805,0.029686,,101.720001
4/4/2017,10.666805,0,,101.290001
4/5/2017,10.666805,0,,100.839996
4/6/2017,10.6767,0.009895,,101.400002
4/7/2017,10.65691,-0.01979,,101.309998
4/10/2017,10.666805,0.009895,,101.349998
4/11/2017,10.706386,0.039581,,101.470001
4/12/2017,10.706386,0,,100.919998
4/13/2017,10.736071,0.029685,,100.379997
4/17/2017,10.726175,-0.009896,,101.32
4/18/2017,10.765756,0.039581,,101.32
4/19/2017,10.755859,-0.009897,,101.949997
4/20/2017,10.736071,-0.019788,,102.870003
4/21/2017,10.736071,0,,102.529999
4/24/2017,10.726175,-0.009896,,103.82
4/25/2017,10.689486,-0.036689,,104.150002
4/26/2017,10.699401,0.009915,,104.290001
4/27/2017,10.719234,0.019833,,104.730003
4/28/2017,10.729149,0.009915,,104.07
5/1/2017,10.699401,-0.029748,,104.489998
5/2/2017,10.719234,0.019833,,104.489998
5/3/2017,10.719234,0,,104.230003
5/4/2017,10.699401,-0.019833,,104.779999
5/5/2017,10.699401,0,,105.260002
5/8/2017,10.689486,-0.009915,,105
5/9/2017,10.67957,-0.009916,,105.129997
5/10/2017,10.67957,0,,105.440002
5/11/2017,10.689486,0.009916,,105.110001
5/12/2017,10.729149,0.039663,,104.650002
5/15/2017,10.729149,0,,105.580002
5/16/2017,10.739065,0.009916,,105.699997
5/17/2017,10.798562,0.059497,,103.800003
5/18/2017,10.788647,-0.009915,,104.489998
5/19/2017,10.778729,-0.009918,,105.279999
5/22/2017,10.778729,0,,106.040001
5/23/2017,10.768813,-0.009916,,106.010002
5/24/2017,10.778729,0.009916,,106.57
5/25/2017,10.781711,0.002982,,107.360001
5/26/2017,10.791647,0.009936,,107.190002
5/30/2017,10.811522,0.019875,,107.260002
5/31/2017,10.82146,0.009938,,107.330002
6/1/2017,10.811522,-0.009938,,108.699997
6/2/2017,10.851271,0.039749,,109.309998
6/5/2017,10.831396,-0.019875,,109.239998
6/6/2017,10.851271,0.019875,,108.919998
6/7/2017,10.841333,-0.009938,,109.040001
6/8/2017,10.831396,-0.009937,,109.349998
6/9/2017,10.82146,-0.009936,,108.550003
6/12/2017,10.82146,0,,108.5
6/13/2017,10.82146,0,,109.25
6/14/2017,10.871144,0.049684,,109.260002
6/15/2017,10.851271,-0.019873,,109.080002
6/16/2017,10.861208,0.009937,,109.050003
6/19/2017,10.851271,-0.009937,,110.220001
6/20/2017,10.871144,0.019873,,109.199997
6/21/2017,10.871144,0,,109.230003
6/22/2017,10.871144,0,,109.339996
6/23/2017,10.881082,0.009938,,109.720001
6/26/2017,10.894026,0.012944,,109.709999
6/27/2017,10.864153,-0.029873,,108.769997
6/28/2017,10.854195,-0.009958,,109.720001
6/29/2017,10.834279,-0.019916,,108.620003
6/30/2017,10.814363,-0.019916,,108.910004
7/3/2017,10.794447,-0.019916,,108.970001
7/5/2017,10.804405,0.009958,,109.400002
7/6/2017,10.784489,-0.019916,,108.360001
7/7/2017,10.77453,-0.009959,,109.5
7/10/2017,10.794447,0.019917,,109.379997
7/11/2017,10.794447,0,,109.510002
7/12/2017,10.824321,0.029874,,110.489998
7/13/2017,10.814363,-0.009958,,110.379997
7/14/2017,10.824321,0.009958,,110.900002
7/17/2017,10.834279,0.009958,,110.830002
7/18/2017,10.864153,0.029874,,110.889999
7/19/2017,10.864153,0,,111.580002
7/20/2017,10.864153,0,,111.550003
7/21/2017,10.884068,0.019915,,111.610001
7/24/2017,10.87411,-0.009958,,111.830002
7/25/2017,10.837189,-0.036921,,112.120003
7/26/2017,10.867126,0.029937,,111.879997
7/27/2017,10.857147,-0.009979,,110.849998
7/28/2017,10.867126,0.009979,,110.449997
7/31/2017,10.867126,0,,110.050003
8/1/2017,10.897063,0.029937,,110.559998
8/2/2017,10.897063,0,,110.040001
8/3/2017,10.917021,0.019958,,110.139999
8/4/2017,10.887084,-0.029937,,110.440002
8/7/2017,10.897063,0.009979,,110.75
8/8/2017,10.887084,-0.009979,,110.43
8/9/2017,10.907043,0.019959,,110.089996
8/10/2017,10.907043,0,,108.349998
8/11/2017,10.917021,0.009978,,108.849998
8/14/2017,10.907043,-0.009978,,110.080002
8/15/2017,10.887084,-0.019959,,109.879997
8/16/2017,10.907043,0.019959,,110.540001
8/17/2017,10.927,0.019957,,109.050003
8/18/2017,10.927,0,,108.839996
8/21/2017,10.936979,0.009979,,109
8/22/2017,10.917021,-0.019958,,110.220001
8/23/2017,10.946959,0.029938,,109.82
8/24/2017,10.927,-0.019959,,109.82
8/25/2017,10.94,0.013,,110.050003
8/28/2017,10.95,0.01,,110.230003
8/29/2017,10.96,0.01,,110.260002
8/30/2017,10.96,0,,110.949997
8/31/2017,10.97,0.01,,112.040001
9/1/2017,10.96,-0.01,,112.18
9/5/2017,11.01,0.05,,111.519997
9/6/2017,10.98,-0.03,,111.75
9/7/2017,11.01,0.03,,111.75
9/8/2017,11.01,0,,111.879997
9/11/2017,10.97,-0.04,,112.980003
9/12/2017,10.95,-0.02,,113.389999
9/13/2017,10.94,-0.01,,113.019997
9/14/2017,10.95,0.01,,112.949997
9/15/2017,10.95,0,,113.080002
9/18/2017,10.94,-0.01,,113.620003
9/19/2017,10.94,0,,113.580002
,,,,
,0.761122,value gained since 1/2/16,,
,6.96%,Percent gained since 1/2/16,,
,,,,
,0.173031,value gained since 9/19/2016,,
,1.58%,Percent gained since 9/19/2016,,
